CUST_ID,P_ACQ_1,ETHNICITY
10000000,0.0285,Orange
10000001,0.0192,Orange
10000002,0.0387,Orange
10000003,0.0242,Orange
10000004,0.0125,Orange
10000005,0.0142,Apple
10000006,0.0332,Lemon
10000007,0.0365,Lemon
10000008,0.0256,Orange
10000009,0.0063,Lemon
10000010,0.0173,Lemon
10000011,0.0142,Apple
10000012,0.0152,Lemon
10000013,0.0059,Apple
10000014,0.0385,Orange
10000015,0.012,Orange
10000016,0.0179,Orange
10000017,0.0031,Lemon
10000018,0.0005,Orange
10000019,0.0305,Orange
10000020,0.0122,Apple
10000021,0.0296,Lemon
10000022,0.0169,Lemon
10000023,0.03,Lemon
10000024,0.0083,Orange
10000025,0.0235,Lemon
10000026,0.0058,Lemon
10000027,0.0085,Apple
10000028,0.0118,Orange
10000029,0.0338,Orange
10000030,0.0086,Apple
10000031,0.0119,Orange
10000032,0.0216,Apple
10000033,0.0021,Lemon
10000034,0.0357,Apple
10000035,0.0236,Apple
10000036,0.0017,Lemon
10000037,0.0009,Lemon
10000038,0.0173,Lemon
10000039,0.0164,Lemon
10000040,0.0259,Orange
10000041,0.0172,Apple
10000042,0.032,Lemon
10000043,0.007,Orange
10000044,0.0177,Apple
10000045,0.0066,Lemon
10000046,0.0278,Apple
10000047,0.0223,Apple
10000048,0.0106,Lemon
10000049,0.01,Lemon
10000050,0.0304,Lemon
10000051,0.0359,Apple
10000052,0.0118,Orange
10000053,0.0203,Lemon
10000054,0.0255,Lemon
10000055,0.0063,Orange
10000056,0.0397,Apple
10000057,0.0156,Apple
10000058,0.021,Apple
10000059,0.0212,Lemon
10000060,0.0293,Orange
10000061,0.0244,Orange
10000062,0.0203,Lemon
10000063,0.0235,Orange
10000064,0.0252,Apple
10000065,0.016,Orange
10000066,0.0321,Orange
10000067,0.0353,Lemon
10000068,0.0368,Apple
10000069,0.0352,Lemon
10000070,0.0022,Lemon
10000071,0.0113,Lemon
10000072,0.0213,Apple
10000073,0.0321,Apple
10000074,0.0118,Apple
10000075,0.0143,Lemon
10000076,0.0346,Lemon
10000077,0.0262,Apple
10000078,0.0276,Orange
10000079,0.0294,Lemon
10000080,0.0324,Lemon
10000081,0.0017,Orange
10000082,0.0119,Orange
10000083,0.0322,Apple
10000084,0.0129,Orange
10000085,0.02,Orange
10000086,0.0134,Orange
10000087,0.0167,Lemon
10000088,0.0205,Orange
10000089,0.0253,Orange
10000090,0.0196,Apple
10000091,0.0158,Apple
10000092,0.0053,Lemon
10000093,0.0355,Lemon
10000094,0.0068,Lemon
10000095,0.0171,Lemon
10000096,0.0184,Apple
10000097,0.0115,Apple
10000098,0.0219,Lemon
10000099,0.0368,Apple
10000100,0.0271,Apple
10000101,0.0217,Lemon
10000102,0.0331,Lemon
10000103,0.0373,Lemon
10000104,0.0179,Lemon
10000105,0.0303,Lemon
10000106,0.02,Lemon
10000107,0.0165,Apple
10000108,0.024,Orange
10000109,0.0291,Lemon
10000110,0.0149,Lemon
10000111,0.0232,Lemon
10000112,0.0203,Apple
10000113,0.0203,Apple
10000114,0.033,Apple
10000115,0.0271,Apple
10000116,0.0399,Orange
10000117,0.0084,Lemon
10000118,0.0153,Lemon
10000119,0.0199,Apple
10000120,0.0329,Lemon
10000121,0.0319,Apple
10000122,0.0066,Apple
10000123,0.0303,Orange
10000124,0.0218,Apple
10000125,0.0332,Apple
10000126,0.003,Orange
10000127,0.0188,Lemon
10000128,0.0264,Orange
